year,month,sst,ssh,ild,BV,CUTI,BEUTI
1980,1,12.975,0.14947,38.913,0.0084257,0.26,1.47
1980,2,13.057,0.14417,36.179,0.0083243,-0.13,-0.83
1980,3,13.335,0.11332,43.774,0.0083972,0.95,7.04
1980,4,12.69,0.10708,27.451,0.0082261,0.63,6.62
1980,5,12.319,0.051257,24.241,0.0078411,0.94,13.23
1980,6,13.558,0.038953,14.405,0.0082669,0.7,7.28
1980,7,15.729,0.083317,10.062,0.0093306,0.53,2.27
1980,8,14.631,0.078538,14.326,0.0084785,0.78,5.02
1980,9,15.132,0.072022,10.414,0.0085169,0.44,2.45
1980,10,14.892,0.095752,14.987,0.0085866,0.33,1.36
1980,11,14.356,0.12151,21.392,0.0084402,0.34,1.43
1980,12,13.503,0.11349,29.462,0.0078543,0.01,0.08
1981,1,14.124,0.15328,33.646,0.0083339,0,0.17
1981,2,13.415,0.11769,40.567,0.0083068,0.25,1.16
1981,3,12.93,0.094815,37.399,0.0083181,0.55,3.89
1981,4,11.818,0.053191,34.124,0.0074204,0.92,12.66
1981,5,12.002,0.020109,24.523,0.0072919,0.84,13.21
1981,6,13.395,0.04118,19.396,0.0077874,0.99,10.88
1981,7,13.47,0.0071873,16.858,0.0078392,0.78,8.78
1981,8,14.866,0.042852,14.438,0.0084847,0.66,3.97
1981,9,13.891,0.087214,16.584,0.0080118,0.57,4.19
1981,10,14.302,0.10589,19.766,0.008422,0.27,1.22
1981,11,14.356,0.1882,27.55,0.0089637,0.15,0.35
1981,12,13.168,0.20042,34.333,0.0090325,0.2,1.19
1982,1,11.853,0.1535,51.987,0.008355,0.66,6.63
1982,2,12.04,0.14827,44.699,0.008398,0.22,2.18
1982,3,12.225,0.10586,36.519,0.008801,0.33,3.14
1982,4,12.365,0.065644,26.07,0.0085963,0.46,5.49
1982,5,11.245,0.064512,36.359,0.0072235,0.96,18.02
1982,6,12.713,0.060667,14.299,0.0074665,0.45,5.96
1982,7,13.551,0.098823,13.975,0.0083278,0.66,6.26
1982,8,14.211,0.10874,13.907,0.0086439,0.56,3.87
1982,9,14.983,0.09332,13.224,0.0087867,0.59,2.62
1982,10,15.019,0.13268,18.055,0.0084561,0.16,0.56
1982,11,15.028,0.19076,32.808,0.0082904,0.13,0.22
1982,12,13.398,0.19945,52.298,0.0075452,0.19,0.85
1983,1,13.317,0.20617,53.416,0.0074568,-0.26,-1.23
1983,2,13.608,0.1908,56.454,0.007834,-0.14,-0.97
1983,3,13.476,0.1532,51.765,0.0085505,0.11,0.08
1983,4,12.681,0.12047,42.172,0.0089185,0.46,3.21
1983,5,13.019,0.12348,21.361,0.0089552,0.87,7.68
1983,6,13.315,0.1536,22.009,0.0082904,0.78,7.12
1983,7,14.777,0.18347,15.802,0.0087821,0.71,3.13
1983,8,16.452,0.18329,10.493,0.0095082,0.39,0.74
1983,9,16.855,0.17498,15.006,0.0096589,0.5,0.22
1983,10,16.634,0.18508,22.279,0.0095118,0.25,0.07
1983,11,15.595,0.17839,33.968,0.0093248,0.23,0.23
1983,12,13.388,0.14103,44.627,0.0084316,0.1,-0.2
1984,1,12.887,0.15427,49.738,0.0083512,0.45,3.11
1984,2,12.512,0.14072,47.3,0.0085689,0.37,3.27
1984,3,12.481,0.14436,38.686,0.0085926,0.63,6.4
1984,4,11.538,0.085172,42.598,0.0079959,0.9,14.88
1984,5,12.062,0.077567,22.931,0.0081279,0.75,10.77
1984,6,12.515,0.097315,26.822,0.0079266,1.04,12.18
1984,7,14.307,0.11232,17.92,0.0084463,0.82,5.31
1984,8,15.527,0.13753,14.282,0.0091743,0.52,1.71
1984,9,16.189,0.15791,18.773,0.0095053,0.42,0.79
1984,10,14.797,0.11551,21.2,0.009078,0.57,2.15
1984,11,13.708,0.10377,29.911,0.0086617,-0.08,-0.86
1984,12,12.773,0.08904,45.779,0.0082126,0.22,1.28
1985,1,12.463,0.11828,50.599,0.0077432,0.34,3.05
1985,2,11.469,0.069621,62.379,0.0071425,0.69,9.52
1985,3,10.59,0.030938,53.439,0.0068388,0.65,12.13
1985,4,11.199,0.047237,29.447,0.0071801,0.69,12.61
1985,5,11.663,0.05007,21.513,0.0075975,0.59,9.97
1985,6,13.061,0.061507,14.71,0.0082667,0.6,7.4
1985,7,13.447,0.090906,16.16,0.0080873,0.61,5.97
1985,8,14.665,0.082344,12.88,0.0086722,0.46,2.73
1985,9,15.168,0.10382,14.005,0.0091119,0.33,1.12
1985,10,14.169,0.10218,24.281,0.008377,0.54,3.05
1985,11,12.103,0.070953,42.046,0.0071283,0.4,4.52
1985,12,12.012,0.090327,46.169,0.0070621,-0.11,-2.08
1986,1,12.603,0.12863,33.59,0.0076564,-0.13,-1.21
1986,2,12.659,0.11837,41.796,0.0079541,0.06,0
1986,3,12.993,0.12901,32.347,0.0088554,0.31,2.01
1986,4,12.091,0.083014,32.815,0.0082303,0.78,9.81
1986,5,11.897,0.071378,22.851,0.0077408,0.77,11.65
1986,6,13.395,0.071946,11.178,0.0084042,0.59,6.35
1986,7,13.397,0.082515,17.187,0.0079792,0.56,5.92
1986,8,13.697,0.097735,15.794,0.00789,0.53,4.84
1986,9,14.61,0.12074,14.288,0.0085745,0.27,1.28
1986,10,14.463,0.11924,20.226,0.0085996,0.25,1.31
1986,11,13.898,0.13537,28.055,0.008175,0.28,1.4
1986,12,13.747,0.16057,45.241,0.0076408,-0.08,-0.58
1987,1,12.901,0.15309,52.732,0.0074153,0.32,2.04
1987,2,12.602,0.14576,45.407,0.0075785,0.45,4.47
1987,3,12.254,0.10244,40.856,0.0076679,0.16,1.64
1987,4,11.951,0.072431,29.853,0.0078017,0.57,7.96
1987,5,12.452,0.060094,23.68,0.0081062,0.62,7.26
1987,6,12.804,0.048904,16.625,0.007795,0.58,6.84
1987,7,14.076,0.094527,16.21,0.0083121,0.57,3.88
1987,8,14.56,0.091471,13.815,0.0086001,0.35,2.28
1987,9,14.964,0.11314,15.448,0.0086216,0.42,1.39
1987,10,15.182,0.13056,17.709,0.0086949,0.13,0.32
1987,11,14.582,0.13802,28.109,0.0085549,0.23,0.61
1987,12,12.859,0.14121,53.929,0.0074975,0.26,2.03
1988,1,11.829,0.12376,58.933,0.0072422,0.22733,2.347
1988,2,11.825,0.10395,57.832,0.0070649,0.49383,5.9485
1988,3,11.756,0.070225,44.822,0.0072317,1.0933,15.916
1988,4,11.985,0.036431,22.813,0.0072629,0.35267,4.628
1988,5,12.264,0.032225,22.965,0.0078007,1.05,14.633
1988,6,13.1,0.027048,15.997,0.0083176,0.99333,11.969
1988,7,13.037,0.050367,16.653,0.0079349,0.833,10.796
1988,8,14.413,0.024129,11.956,0.0086987,0.659,4.6898
1988,9,13.627,0.022567,21.031,0.0079187,0.68333,6.3038
1988,10,13.596,0.061425,20.772,0.0079242,0.4125,2.9553
1988,11,13.107,0.048737,23.582,0.008154,0.38233,2.9542
1988,12,11.957,0.04155,41.439,0.0074672,0.56467,7.246
1989,1,10.888,0.016216,64.016,0.0065315,0.67417,11.344
1989,2,10.595,0.023463,60.915,0.0064234,0.44067,8.2778
1989,3,11.109,0.035243,41.656,0.0071408,0.13017,1.1877
1989,4,12.376,0.058043,14.352,0.0080119,0.43317,6.1632
1989,5,12.391,0.01361,19.674,0.0080934,1.2182,16.942
1989,6,12.681,0.024398,17.404,0.0074236,0.7595,10.9
1989,7,13.244,0.060059,20.277,0.0076833,1.4103,14.21
1989,8,13.802,0.049227,14.104,0.0078287,0.74733,7.0278
1989,9,14.514,0.067714,12.978,0.0081126,0.3595,2.285
1989,10,14.427,0.088358,19.708,0.0083065,0.39933,1.9727
1989,11,14.064,0.081535,29.318,0.0082176,0.45917,2.0633
1989,12,13.674,0.097738,36.919,0.0077791,0.39317,2.3153
1990,1,12.256,0.071278,45.457,0.0069978,0.50283,5.3705
1990,2,11.173,0.056878,57.758,0.0063161,0.69567,10.746
1990,3,11.086,0.062968,42.196,0.0064387,0.66033,11.593
1990,4,12.031,0.054212,20.894,0.0075255,0.826,12.227
1990,5,11.905,0.0135,25.067,0.0070529,0.77883,13.823
1990,6,13.483,0.012986,15.706,0.0078876,0.89517,8.8287
1990,7,14.882,0.059173,11.693,0.0082205,0.57167,3.3357
1990,8,15.54,0.085303,13.349,0.0085281,0.48967,1.7437
1990,9,16.53,0.11007,14.118,0.0093205,0.6275,0.863
1990,10,14.608,0.098118,23.746,0.0081403,0.79367,3.6125
1990,11,13.673,0.090602,31.787,0.0077022,0.81933,5.4205
1990,12,12.173,0.070206,49.519,0.006711,0.6215,8.0042
1991,1,11.515,0.093468,59.404,0.0061384,0.10617,0.87367
1991,2,11.534,0.11264,45.891,0.006555,0.21817,2.7898
1991,3,11.471,0.060184,46.983,0.0070482,0.52317,7.4387
1991,4,10.875,0.036815,35.738,0.0068885,1.0933,20.634
1991,5,10.786,0.00032266,28.675,0.0067941,1.314,28.358
1991,6,11.569,0.010545,22.193,0.0067307,0.93733,18.288
1991,7,13.257,0.049398,10.745,0.0074138,0.61917,8.0853
1991,8,14.744,0.082844,11.679,0.0083617,0.7085,3.6788
1991,9,14.774,0.09183,13.196,0.0084173,0.47317,2.3875
1991,10,14.647,0.080156,17.919,0.0082592,0.56933,2.4202
1991,11,13.224,0.092064,31.198,0.0073229,0.81167,7.4703
1991,12,12.22,0.090371,45.559,0.0063511,-0.15033,-1.1512
1992,1,12.37,0.12309,50.315,0.0064686,0.025833,0.12517
1992,2,13.191,0.18766,42.641,0.0074588,-0.28283,-2.0613
1992,3,13.608,0.1807,33.452,0.0083586,0.112,0.35167
1992,4,14.082,0.16549,27.851,0.0086339,0.751,3.0297
1992,5,14.03,0.087762,17.546,0.0088624,0.843,6.2975
1992,6,14.243,0.038644,12.559,0.0085144,0.60617,5.2593
1992,7,15.534,0.072266,11.378,0.0092674,0.76533,2.9237
1992,8,15.003,0.080355,17.762,0.0086714,0.63467,2.7065
1992,9,15.269,0.089644,18.636,0.0087511,0.62817,1.9547
1992,10,15.84,0.13524,20.734,0.0090934,0.2525,0.16717
1992,11,14.85,0.1254,31.641,0.0086527,0.37367,0.38433
1992,12,13.44,0.11949,44.421,0.0078785,0.3255,1.2892
1993,1,12.433,0.14003,68.754,0.007138,-0.1395,-1.6078
1993,2,12.883,0.15125,56.174,0.0075704,-0.068333,-0.45017
1993,3,13.008,0.12399,33.853,0.0084848,0.4035,2.5842
1993,4,12.764,0.080567,26.617,0.0085426,1.0095,10.734
1993,5,13.506,0.060246,17.318,0.0086492,0.18117,3.0083
1993,6,14.225,0.078902,17.767,0.009248,1.2707,8.028
1993,7,13.959,0.075499,16.825,0.0081982,0.82733,8.0942
1993,8,15.2,0.097368,13.034,0.0089696,0.72817,3.181
1993,9,14.608,0.10176,20.544,0.0086825,0.74,3.1608
1993,10,15.08,0.12762,21.072,0.0088382,0.24767,0.56383
1993,11,14.314,0.12305,33.271,0.0082444,0.47317,1.7003
1993,12,13.152,0.13545,42.135,0.0077099,-0.0096667,-0.30517
1994,1,13.187,0.12425,51.532,0.0074521,0.1885,0.9895
1994,2,12.56,0.093129,56.774,0.0072343,0.12167,0.89483
1994,3,12.872,0.073599,35.063,0.0080203,0.4645,3.73
1994,4,12.127,0.031004,31.684,0.0074417,1.0477,13.95
1994,5,12.501,0.0087939,21.098,0.0074689,0.84883,11.096
1994,6,12.961,0.036168,21.938,0.0075453,1.2805,15.481
1994,7,13.236,0.059683,17.074,0.007569,0.6475,8.3975
1994,8,14.932,0.080141,16.083,0.008649,0.88633,4.2057
1994,9,15.668,0.08504,14.409,0.0089578,0.479,1.186
