year,month,sst,ssh,ild,BV,CUTI,BEUTI
1980,1,15.306,0.16861,27.923,0.0089293,0.06,0.05
1980,2,15.687,0.16748,26.361,0.0090895,-0.04,-0.06
1980,3,15.59,0.13286,30.844,0.0088089,0.34,0.97
1980,4,15.122,0.12826,21.151,0.008611,0.35,1.29
1980,5,15.387,0.095945,17.28,0.0088181,0.41,1.99
1980,6,15.698,0.084734,15.505,0.0086748,0.45,2.03
1980,7,17.689,0.10794,9.7205,0.0095217,0.3,0.59
1980,8,19.641,0.13139,9.6744,0.010392,0.18,0.13
1980,9,18.683,0.13348,14.739,0.0099661,0.24,0.13
1980,10,17.888,0.14359,17.905,0.0095851,0.2,0.17
1980,11,16.304,0.15037,22.567,0.0088526,0.22,0.57
1980,12,15.641,0.1425,30.04,0.0083383,0.07,0.14
1981,1,15.695,0.159,30.16,0.0085397,0.06,0.09
1981,2,15.297,0.13116,32.157,0.0083343,0.08,0.15
1981,3,15.28,0.11322,30.946,0.0082846,0.34,1.16
1981,4,15.029,0.075228,20.431,0.008179,0.3,1.87
1981,5,16.492,0.084879,14.948,0.0089907,0.23,0.64
1981,6,17.542,0.094631,10.524,0.0093844,0.33,0.71
1981,7,19.664,0.082594,8.3494,0.010432,0.23,0.12
1981,8,20.23,0.10723,11.083,0.010721,0.27,0.1
1981,9,19.293,0.14354,11.379,0.010262,0.34,0.23
1981,10,17.719,0.14922,17.15,0.0095446,0.29,0.2
1981,11,16.717,0.18843,23.289,0.0089891,0.23,0.2
1981,12,15.534,0.19882,30.754,0.008334,0.29,0.23
1982,1,14.129,0.14458,43.47,0.007546,0.23,0.94
1982,2,14.41,0.13088,25.37,0.0079921,0.23,1.03
1982,3,14.652,0.096534,23.181,0.0084839,0.24,0.95
1982,4,14.763,0.091798,21.28,0.0082862,0.22,0.87
1982,5,15.526,0.12499,14.93,0.0087162,0.34,1.23
1982,6,15.971,0.12436,10.807,0.0087513,0.34,1.21
1982,7,17.735,0.16214,8.648,0.0097401,0.25,0.42
1982,8,18.834,0.16149,11.034,0.010028,0.26,0.18
1982,9,19.476,0.16537,10.482,0.010462,0.24,0.1
1982,10,18.733,0.20267,18.327,0.0098298,0.2,0.08
1982,11,17.67,0.2333,31.831,0.0090074,0.1,0.05
1982,12,15.858,0.24234,49.579,0.0075424,0.07,-0.02
1983,1,16.178,0.24996,47.582,0.007672,-0.03,-0.05
1983,2,15.876,0.21469,50.07,0.0077094,0.14,0.15
1983,3,15.691,0.14595,34.894,0.0085773,0.33,0.49
1983,4,15.157,0.12211,30.359,0.0086454,0.27,0.74
1983,5,15.847,0.13726,16.696,0.0090997,0.43,1.05
1983,6,16.924,0.18817,11.63,0.0089998,0.26,0.33
1983,7,18.67,0.23728,10.774,0.0099941,0.27,0.13
1983,8,20.658,0.23712,8.4023,0.010945,0.21,0.08
1983,9,21.199,0.23599,10.746,0.011384,0.21,0.06
1983,10,20.214,0.2365,17.82,0.011046,0.26,0.08
1983,11,18.677,0.20004,25.53,0.01032,0.31,0.1
1983,12,16.234,0.15895,36.795,0.0085202,0.06,0.04
1984,1,15.487,0.15455,34.215,0.0084139,0.18,0.37
1984,2,15.38,0.14238,32.806,0.0086652,0.31,0.66
1984,3,15.703,0.15005,26.431,0.008791,0.32,0.65
1984,4,15.105,0.10164,24.579,0.0085108,0.52,2.11
1984,5,15.82,0.099438,14.742,0.0087647,0.31,1.4
1984,6,17.528,0.12995,13.039,0.0098557,0.28,0.26
1984,7,19.911,0.13737,8.8297,0.010909,0.23,0.11
1984,8,21.389,0.18596,9.3375,0.011592,0.21,0.07
1984,9,22.281,0.21942,13.334,0.011962,0.2,0.06
1984,10,19,0.17319,18.601,0.010543,0.43,0.2
1984,11,16.908,0.14314,24.402,0.0093567,0.26,0.19
1984,12,14.938,0.10918,38.074,0.0080824,0.06,0
1985,1,14.478,0.13261,42.816,0.0078507,0.11,0.58
1985,2,14.037,0.10536,38.585,0.0076039,0.08,0.56
1985,3,13.821,0.075331,31.928,0.0076619,0.37,2.63
1985,4,14.449,0.081809,21.014,0.0082115,0.26,1.33
1985,5,15.157,0.083916,15.374,0.0086771,0.27,1.03
1985,6,16.578,0.10099,8.5365,0.0092187,0.23,0.72
1985,7,18.866,0.13703,8.8508,0.010225,0.2,0.12
1985,8,19.614,0.13085,10.353,0.010563,0.11,0.04
1985,9,19.715,0.1399,13.396,0.010652,0.2,0.07
1985,10,19.067,0.13774,16.822,0.010262,0.18,0.08
1985,11,16.571,0.1152,24.094,0.0090155,0.2,0.18
1985,12,14.857,0.12328,35.52,0.0077571,0.05,0.1
1986,1,15.168,0.14167,28.41,0.0083604,0.08,0.22
1986,2,15.049,0.1179,27.667,0.0085052,0.16,0.14
1986,3,15.287,0.12071,21.438,0.0088239,0.25,0.71
1986,4,15.629,0.092165,17.503,0.0087522,0.28,0.92
1986,5,15.743,0.083616,15.485,0.0087321,0.28,0.84
1986,6,16.717,0.10768,11.258,0.0093773,0.3,0.54
1986,7,18.453,0.13927,8.5137,0.010225,0.23,0.14
1986,8,18.831,0.16237,8.5136,0.010326,0.19,0.16
1986,9,18.597,0.16161,12.462,0.010503,0.2,0.07
1986,10,18.429,0.16471,16.382,0.010258,0.22,0.09
1986,11,17.681,0.18932,23.752,0.0097995,0.1,0.05
1986,12,16.93,0.20705,35.562,0.0090253,0.2,0.11
1987,1,15.378,0.17322,43.681,0.0080396,0.23,0.38
1987,2,14.946,0.15804,38.479,0.0079993,0.16,0.49
1987,3,14.779,0.12712,31.066,0.0079552,0.23,0.81
1987,4,15.407,0.10207,17.91,0.0087876,0.18,0.64
1987,5,16.227,0.095843,11.444,0.0093756,0.29,0.65
1987,6,16.635,0.099542,9.7445,0.009202,0.22,0.46
1987,7,17.458,0.11752,10.199,0.0096822,0.26,0.28
1987,8,19.06,0.13966,9.1102,0.010331,0.17,0.06
1987,9,19.347,0.16165,13.522,0.010424,0.2,0.07
1987,10,19.036,0.16995,15.057,0.01045,0.18,0.06
1987,11,17.725,0.17155,21.499,0.009864,0.19,0.09
1987,12,15.299,0.16315,37.723,0.0082307,0.35,0.73
1988,1,14.111,0.14242,45.049,0.0073661,0.215,0.97233
1988,2,14.446,0.1095,26.418,0.0080174,0.14333,0.62567
1988,3,15.118,0.10274,19.486,0.0085218,0.44233,1.511
1988,4,15.988,0.069783,16.066,0.0092426,0.29833,0.56833
1988,5,15.307,0.045112,17.083,0.0087665,0.66533,2.46
1988,6,16.009,0.048363,11.686,0.0088802,0.395,1.1533
1988,7,18.287,0.076418,6.1031,0.010133,0.21733,0.243
1988,8,19.209,0.069652,7.5428,0.010636,0.34467,0.11967
1988,9,18.931,0.082861,11.078,0.010276,0.19,0.054333
1988,10,18.03,0.092399,11.5,0.0099356,0.25633,0.095
1988,11,16.092,0.091256,20.122,0.0090994,0.33833,0.601
1988,12,14.454,0.074432,30.344,0.0079733,0.18833,1.063
1989,1,13.12,0.042278,35.93,0.0069946,0.19967,2.0147
1989,2,13.141,0.053748,28.351,0.0071332,0.159,1.5687
1989,3,13.987,0.071537,21.103,0.0079472,0.40067,2.4653
1989,4,15.606,0.069507,11.058,0.0087806,0.316,1.0687
1989,5,15.749,0.059467,14.093,0.0088222,0.61833,2.0483
1989,6,16.301,0.074153,10.42,0.0089786,0.339,0.89433
1989,7,18.286,0.10735,8.3241,0.009944,0.37533,0.40033
1989,8,19.121,0.11903,10.139,0.010508,0.30167,0.113
1989,9,18.964,0.13873,13.041,0.010471,0.40567,0.12067
1989,10,18.279,0.1353,14.099,0.010145,0.316,0.084333
1989,11,17.442,0.11842,19.302,0.0095493,0.13967,0.043
1989,12,16.447,0.13724,29.371,0.0088883,0.175,0.108
1990,1,15.323,0.11789,33.215,0.0082686,0.32433,0.55967
1990,2,14.009,0.10118,31.954,0.007391,0.464,2.3547
1990,3,14.215,0.10038,26.084,0.0078895,0.30733,1.7787
1990,4,15.602,0.086018,9.8664,0.0088543,0.277,0.78767
1990,5,16.208,0.073728,13.136,0.0091097,0.40767,0.80967
1990,6,17.011,0.088224,11.578,0.0091677,0.43867,0.69833
1990,7,19.016,0.12026,7.6658,0.010233,0.34467,0.10833
1990,8,19.554,0.13269,8.5591,0.010632,0.39633,0.048333
1990,9,19.649,0.1401,10.145,0.010692,0.33633,0.056333
1990,10,19.341,0.15949,15.341,0.010539,0.244,0.026333
1990,11,17.911,0.1598,21.66,0.009934,0.48433,0.11433
1990,12,16.02,0.1459,34.459,0.0086875,0.30733,0.34167
1991,1,14.884,0.14721,38.586,0.007827,0.12233,0.32967
1991,2,15.106,0.15805,31.699,0.0082287,0.30167,0.72633
1991,3,14.376,0.088186,29.112,0.0082361,0.42333,1.6393
1991,4,14.333,0.074739,22.132,0.0082142,0.63867,3.3813
1991,5,14.21,0.047968,16.532,0.0081,0.71567,4.9813
1991,6,15.886,0.071839,8.5773,0.0089606,0.335,0.99433
1991,7,17.45,0.10266,6.1409,0.0096156,0.23067,0.26033
1991,8,18.081,0.12259,7.5118,0.0099505,0.40567,0.26433
1991,9,18.39,0.13982,7.4061,0.010155,0.21833,0.079333
1991,10,18.352,0.14702,12.628,0.01042,0.35667,0.063
1991,11,16.946,0.16394,24.782,0.0092513,0.452,0.35
1991,12,15.263,0.15676,35.439,0.0079442,0.016667,-0.040333
1992,1,14.979,0.17794,43.623,0.0075042,0.041333,0.091667
1992,2,15.617,0.22185,36.181,0.008533,0.022,-0.082
1992,3,15.811,0.20375,25.379,0.0091398,0.14167,0.14933
1992,4,17.245,0.18068,13.817,0.0099373,0.50233,0.42933
1992,5,17.662,0.12452,9.0271,0.010207,0.34333,0.245
1992,6,17.824,0.097848,9.6414,0.010085,0.48067,0.32033
1992,7,19.245,0.12086,7.9913,0.010617,0.29833,0.10967
1992,8,20.549,0.14944,7.9192,0.011329,0.37667,0.033333
1992,9,20.042,0.16181,12.541,0.011158,0.41267,0.027333
1992,10,19.68,0.19185,16.935,0.01101,0.314,0.027333
1992,11,18.504,0.18536,23.711,0.010358,0.348,0.025667
1992,12,15.97,0.157,36.555,0.0086251,0.322,0.24
1993,1,14.982,0.1595,43.629,0.0083178,0.087333,0.10733
1993,2,15.28,0.16845,33.364,0.0089994,0.11233,0.18167
1993,3,15.688,0.13817,24.443,0.0091919,0.465,0.63267
1993,4,15.752,0.085078,17.819,0.009182,0.774,2.2223
1993,5,16.613,0.080088,11.672,0.0096622,0.45333,0.76233
1993,6,18.313,0.11553,9.2935,0.010404,0.41267,0.353
1993,7,19.49,0.14282,7.0167,0.010945,0.18567,0.034
1993,8,19.149,0.15548,8.4998,0.011012,0.293,0.053
1993,9,18.898,0.17559,13.192,0.010847,0.34033,0.042
1993,10,18.917,0.18572,16.228,0.01088,0.20333,0.024
1993,11,17.666,0.17949,25.368,0.0099923,0.238,0.050667
1993,12,16.009,0.17224,36.8,0.0087466,0.15467,0.051333
1994,1,15.549,0.14787,36.334,0.0084786,0.18633,0.245
1994,2,15.073,0.12752,37.139,0.0083388,0.16667,0.32933
1994,3,15.392,0.11207,23.707,0.0088207,0.333,0.68833
1994,4,14.966,0.075564,19.825,0.0086292,0.523,2.1883
1994,5,15.431,0.063711,13.824,0.0087147,0.365,1.4727
1994,6,17.162,0.087656,11.28,0.0096395,0.398,0.853
1994,7,18.251,0.13151,9.5508,0.010223,0.26933,0.11333
1994,8,19.866,0.14387,8.0512,0.010985,0.302,0.073667
1994,9,19.649,0.16658,11.268,0.011172,0.34533,0.04
1994,10,18.362,0.15165,15.481,0.010452,0.35,0.083333
1994,11,16.071,0.1463,33.499,0.0088176,0.44833,0.487
1994,12,14.944,0.16313,47.762,0.0076349,0.18633,0.31133
1995,1,14.559,0.16637,43.539,0.0079103,0.026333,0.044333
1995,2,15.448,0.16013,26.461,0.0087211,0.17167,0.343
1995,3,15.731,0.13839,23.76,0.0087974,0.336,0.419
1995,4,14.949,0.074305,23.038,0.008444,0.55867,2.1587
1995,5,15.028,0.061003,14.739,0.008476,0.26733,1.4353
1995,6,16.291,0.080259,10.25,0.0092321,0.38867,1.305
1995,7,18.077,0.10126,7.7692,0.010332,0.32133,0.32733
1995,8,19.545,0.1385,9.3301,0.011029,0.32367,0.060667
1995,9,19.798,0.13818,12.388,0.010978,0.39967,0.065667
1995,10,19.121,0.12644,14.071,0.010475,0.11833,0.012
1995,11,17.625,0.13592,20.512,0.0098217,0.275,0.083333
1995,12,16.297,0.1256,28.868,0.008995,0.38933,0.27033
1996,1,15.169,0.10351,29.871,0.0084968,0.41,0.83533
1996,2,15.192,0.10383,19.225,0.0091112,0.26667,0.68933
1996,3,15.223,0.098252,24.065,0.0089549,0.40867,0.988
1996,4,15.552,0.067275,15.879,0.0088229,0.538,1.768
1996,5,17.084,0.060032,11.322,0.009635,0.43433,0.605
1996,6,17.169,0.079213,10.15,0.0095735,0.38233,0.636
1996,7,18.803,0.11306,7.5547,0.010293,0.24,0.121
1996,8,20.086,0.13857,7.4212,0.010896,0.25733,0.076
1996,9,19.968,0.14961,10.704,0.011111,0.235,0.026667
1996,10,18.166,0.11907,15.234,0.010279,0.43533,0.131
1996,11,16.365,0.099229,21.819,0.0092315,0.391,0.45833
1996,12,15.303,0.088613,26.928,0.0085142,0.083667,0.173
1997,1,14.925,0.094074,31.255,0.008316,0.251,0.48567
1997,2,14.667,0.088106,30.008,0.0084462,0.603,2.3493
1997,3,15.135,0.077536,19.752,0.0086016,0.22033,0.79567
1997,4,15.592,0.084816,19.585,0.0087949,0.55967,1.6513
1997,5,17.386,0.11931,10.429,0.0095064,0.258,0.39267
1997,6,18.113,0.1711,10.555,0.0099145,0.461,0.22967
1997,7,19.216,0.17006,9.2255,0.010384,0.26033,0.107
1997,8,21.033,0.2074,9.9208,0.011399,0.26733,0.021333
1997,9,21.411,0.21913,10.808,0.011472,0.312,0.018333
1997,10,20.325,0.24926,22.423,0.010844,0.352,0.018333
1997,11,19.536,0.28812,41.129,0.009887,0.11067,0.016333
1997,12,17.768,0.27367,53.663,0.0085297,0.176,0.030667
1998,1,17.25,0.23852,54.749,0.0081866,0.30667,0.052
1998,2,16.137,0.16676,51.948,0.0075367,0.394,0.36133
1998,3,15.921,0.10826,36.704,0.0081304,0.542,0.58067
1998,4,15.258,0.085413,27.944,0.0082392,0.57067,1.4207
1998,5,16.136,0.075216,14.371,0.0091753,0.42633,0.66767
1998,6,17.397,0.096717,10.177,0.0098889,0.38833,0.28067
1998,7,18.8,0.12358,8.385,0.010681,0.238,0.14867
1998,8,20.417,0.16056,8.6386,0.011564,0.294,0.020667
1998,9,20.34,0.15616,12.168,0.011435,0.34067,0.036
1998,10,18.392,0.094225,16.219,0.010286,0.378,0.077
1998,11,16.494,0.070747,24.02,0.0090985,0.407,0.31933
1998,12,14.438,0.052154,36.681,0.0077628,0.46067,1.583
1999,1,14.326,0.052509,37.75,0.0078601,0.23333,0.914
1999,2,13.805,0.066348,47.791,0.0073918,0.42433,2.2427
1999,3,13.613,0.058217,27.89,0.0076631,0.32333,2.2173
1999,4,13.529,0.027047,24.706,0.0076462,0.43867,3.7447
1999,5,14.725,0.043135,18.138,0.0081719,0.33833,1.779
1999,6,15.899,0.069896,12.614,0.0090208,0.47867,1.455
1999,7,18.208,0.10433,8.3588,0.010387,0.44533,0.243
1999,8,17.97,0.10059,11.174,0.010019,0.498,0.403
1999,9,18.162,0.097346,12.251,0.010147,0.31367,0.081
1999,10,17.996,0.083572,15.018,0.0099368,0.277,0.087
1999,11,16.73,0.065679,20.795,0.0093502,0.329,0.26433
1999,12,14.946,0.077965,31.544,0.007938,0.35633,1.0243
2000,1,14.307,0.082847,30.193,0.0077912,0.30833,1.152
2000,2,14.422,0.089938,28.353,0.0080646,0.222,0.83833
2000,3,14.149,0.070952,24.525,0.0078998,0.49167,2.6277
2000,4,14.958,0.041396,16.754,0.0084484,0.43833,1.8557
2000,5,15.756,0.055193,16.648,0.0086447,0.433,1.3577
2000,6,17.771,0.11938,11.807,0.0098461,0.33733,0.325
2000,7,18.463,0.13618,10.76,0.010292,0.518,0.30767
2000,8,19.387,0.13239,11.226,0.010514,0.323,0.094
2000,9,19.637,0.13282,13.703,0.010601,0.30267,0.032
2000,10,18.373,0.11399,18.483,0.0098262,0.33133,0.089
2000,11,16.024,0.10388,28.079,0.008466,0.44233,0.67233
2000,12,14.994,0.10592,30.963,0.0078323,0.23533,0.751
2001,1,14.393,0.094321,34.546,0.0078419,0.217,0.857
2001,2,13.603,0.075707,35.234,0.0073851,0.221,1.3083
2001,3,14.178,0.084868,25.886,0.0078589,0.39267,2.032
2001,4,13.731,0.04558,24.534,0.0075011,0.76233,5.9
2001,5,16.21,0.062053,8.1444,0.008958,0.145,0.472
2001,6,18,0.094764,10.357,0.010031,0.39833,0.70567
2001,7,18.456,0.098206,10.248,0.01015,0.433,0.49
2001,8,18.463,0.10843,9.1507,0.010207,0.42567,0.58067
2001,9,18.41,0.10538,9.8521,0.010247,0.37367,0.168
2001,10,17.764,0.10516,15.757,0.009731,0.12067,0.041667
2001,11,16.933,0.11107,22.911,0.0092438,0.35333,0.18667
2001,12,14.601,0.099993,35.467,0.0076931,0.41067,1.417
2002,1,14.361,0.10637,42.059,0.0076299,0.48767,2.0247
2002,2,14.01,0.079262,32.932,0.0075424,0.32633,1.5197
2002,3,13.993,0.070928,29.535,0.0076356,0.74433,4.8263
2002,4,14.148,0.053488,22.64,0.0077114,0.611,4.0313
2002,5,14.825,0.053425,19.257,0.0078016,0.76533,4.592
2002,6,16.572,0.077062,12.028,0.009054,0.561,1.6743
2002,7,18.047,0.092778,8.2233,0.0098223,0.335,0.40233
2002,8,18.468,0.10201,11.273,0.010071,0.40733,0.38633
2002,9,18.545,0.10374,14.362,0.010025,0.453,0.29133
2002,10,17.428,0.12919,22.38,0.0093142,0.35667,0.20233
2002,11,16.526,0.15043,27.459,0.008917,0.15233,0.12433
2002,12,15.923,0.15533,32.727,0.0086546,0.29633,0.308
2003,1,15.571,0.15349,41.598,0.0081383,0.334,0.43767
2003,2,15.189,0.1027,39.253,0.0085356,0.30933,0.50567
2003,3,14.6,0.071798,35.587,0.0082623,0.71433,3.084
2003,4,14.341,0.033885,20.856,0.0081415,0.66967,3.798
2003,5,15.018,0.048303,18.859,0.0081914,0.60633,3.144
2003,6,16.453,0.062814,11.703,0.0092905,0.58167,1.8023
2003,7,18.517,0.095709,9.7611,0.010342,0.34367,0.59
2003,8,19.522,0.12491,10.394,0.010982,0.81933,0.30467
2003,9,19.133,0.11965,14.366,0.010726,0.53867,0.11333
2003,10,18.505,0.1202,17.108,0.010462,0.33333,0.15567
2003,11,16.704,0.12849,24.759,0.0095689,0.314,0.23833
2003,12,15.275,0.13927,38.649,0.0084071,0.194,0.30633
2004,1,14.643,0.13539,44.497,0.0081201,0.429,1.3523
2004,2,14.109,0.11506,44.063,0.0079326,0.443,1.808
2004,3,14.701,0.099139,26.594,0.0084352,0.612,2.4593
2004,4,15.315,0.073535,18.842,0.0090901,0.63333,2.044
2004,5,16.39,0.074643,16.228,0.0093435,1.01,2.502
2004,6,16.628,0.085399,14.702,0.009361,0.59133,1.6773
2004,7,18.452,0.10456,10.104,0.01028,0.618,0.452
2004,8,19.152,0.13498,10.622,0.010582,0.445,0.22033
2004,9,20.22,0.15615,11.123,0.011292,0.46667,0.055667
2004,10,18.39,0.14286,20.27,0.01033,0.26567,0.048
2004,11,17.014,0.15104,27.919,0.0095562,0.37567,0.16433
2004,12,15.468,0.14988,36.757,0.0084155,0.097667,0.088333
2005,1,15.2,0.17,43.78,0.0085352,0.22967,0.22833
2005,2,15.067,0.14159,39.225,0.0088825,0.069333,0.058667
2005,3,15.297,0.11376,28.593,0.0092748,0.54467,0.85767
2005,4,14.691,0.066503,21.069,0.0085227,0.814,4.7353
2005,5,16.171,0.073554,15.401,0.0093078,0.787,1.728
2005,6,16.582,0.080571,14.334,0.0094302,0.94133,2.1583
2005,7,17.562,0.093853,9.6978,0.009819,0.34633,0.74
2005,8,19.19,0.12088,9.7028,0.010796,0.27967,0.13
2005,9,18.537,0.10236,16.204,0.010301,0.57367,0.346
2005,10,17.404,0.1053,20.361,0.0096597,0.531,0.494
2005,11,16.482,0.10846,21.501,0.0093619,0.44933,0.59167
2005,12,15.096,0.10324,30.165,0.0084779,0.27633,0.655
2006,1,14.252,0.086044,35.571,0.0077765,0.305,1.7333
2006,2,14.396,0.060818,33.96,0.00798,0.243,1.277
2006,3,13.411,0.047539,35.95,0.0076439,0.51233,3.6543
2006,4,14.754,0.063087,17.647,0.0085265,0.269,1.1807
2006,5,15.881,0.065388,11.969,0.0088856,0.617,2.1113
2006,6,17.654,0.10338,12.802,0.0096757,0.66867,0.99167
2006,7,19.928,0.10956,11.295,0.010778,0.36167,0.53033
2006,8,20.255,0.1257,12.758,0.01119,0.50567,0.10133
2006,9,19.126,0.11725,16.062,0.010575,0.543,0.15867
2006,10,18.1,0.13342,20.454,0.0099707,0.26567,0.048
2006,11,17.457,0.14143,24.879,0.0095653,0.27567,0.076
2006,12,15.766,0.14646,36.835,0.0081482,0.209,0.42533
2007,1,14.521,0.1238,49.52,0.0071592,0.39433,1.0917
2007,2,14.52,0.089055,42.593,0.0075476,0.63133,2.2527
2007,3,14.226,0.061952,33.548,0.0074676,0.54467,2.9983
2007,4,14.221,0.03526,26.854,0.0076022,0.958,6.1423
2007,5,14.954,0.035919,16.768,0.0078539,0.66,3.6373
2007,6,16.532,0.05997,12.272,0.0087137,0.74667,2.2357
2007,7,18.65,0.09818,9.8182,0.009944,0.49467,0.46533
2007,8,19.805,0.10599,10.319,0.010636,0.51133,0.19033
2007,9,18.963,0.097806,14.66,0.010044,0.653,0.308
2007,10,17.343,0.091293,21.938,0.0091103,0.61633,0.53333
2007,11,16.411,0.10203,25.081,0.0087072,0.194,0.232
2007,12,14.466,0.08661,33.665,0.0077531,0.44067,2.1913
2008,1,13.394,0.083721,41.667,0.0071375,0.12733,0.58367
2008,2,13.393,0.082852,44.282,0.0071816,0.46767,3.05
2008,3,13.743,0.032861,32.485,0.0077698,1.063,7.303
2008,4,13.884,0.0055752,24.76,0.0075169,0.79767,7.2533
2008,5,15.034,0.03405,16.378,0.0082559,0.571,3.3887
2008,6,16.968,0.088018,13.388,0.0094167,0.492,1.8277
2008,7,18.734,0.13095,10.034,0.010422,0.351,0.31567
2008,8,19.817,0.1492,10.424,0.011013,0.32433,0.075
2008,9,19.493,0.13695,14.157,0.01073,0.39967,0.078333
2008,10,18.241,0.10541,17.178,0.010017,0.37767,0.15667
2008,11,16.979,0.092491,22.553,0.009272,0.258,0.15333
2008,12,15.251,0.099385,33.002,0.0082506,0.236,0.46067
2009,1,14.22,0.11255,43.293,0.0074502,0.065333,0.183
2009,2,13.902,0.10262,41.288,0.0074679,0.26067,1.0317
2009,3,13.908,0.082351,31.414,0.0077018,0.432,2.3477
2009,4,14.204,0.043808,22.257,0.0080516,0.72733,4.9113
2009,5,15.533,0.05498,14.786,0.0087431,0.457,2.3483
2009,6,17.014,0.084973,10.118,0.0096042,0.479,0.74767
2009,7,18.997,0.12735,11.139,0.010548,0.35467,0.20467
2009,8,18.999,0.13705,12.755,0.010482,0.40967,0.191
2009,9,19.889,0.14448,13.295,0.011037,0.411,0.085333
2009,10,18.205,0.12746,19.491,0.00999,0.46867,0.15533
2009,11,16.935,0.12738,26.56,0.0090763,0.35067,0.28033
2009,12,15.048,0.14594,44.643,0.0076748,0.13633,0.219
2010,1,15.08,0.16632,53.44,0.0076061,0.062667,-0.011
2010,2,14.922,0.15865,55.636,0.0076834,0.316,0.47667
2010,3,14.537,0.1117,35.947,0.0082217,0.60167,2.1487
2010,4,14.365,0.07007,28.94,0.0081381,0.67433,3.326
2010,5,14.371,0.046409,22.286,0.0079103,0.75233,4.6177
2010,6,15.919,0.068439,11.786,0.0089224,0.55833,3.295
2010,7,16.855,0.089625,9.7675,0.0095047,0.345,1.1287
2010,8,17.387,0.091575,12.256,0.0094351,0.55367,0.919
2010,9,17.419,0.093224,13.354,0.0091986,0.405,0.46633
2010,10,17.294,0.11093,15.767,0.0095652,0.19033,0.14133
2010,11,16.031,0.10161,23.458,0.0087235,0.34833,0.74
2010,12,14.296,0.10056,31.269,0.007424,0.071,0.33767
2011,1,13.81,0.034729,29.492,0.008374,-0.094,-0.56133
2011,2,13.842,0.048171,30.59,0.0083086,0.098333,0.493
2011,3,13.532,0.036893,27.114,0.0089297,0.399,2.54
